IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
163.123.174.205,2087,80,false,SEA,North America,Seattle,200,2.46
163.123.174.17,2083,80,false,SEA,North America,Seattle,197,2.46
163.123.174.217,2087,80,false,SEA,North America,Seattle,195,2.46
163.123.174.232,2087,80,false,SEA,North America,Seattle,202,2.46
163.123.174.205,2096,80,false,SEA,North America,Seattle,200,2.46
163.123.174.16,2053,80,false,SEA,North America,Seattle,205,2.45
163.123.174.42,2082,80,false,SEA,North America,Seattle,197,2.45
163.123.174.219,2086,80,false,SEA,North America,Seattle,204,2.45
163.123.174.205,2082,80,false,SEA,North America,Seattle,199,2.44
163.123.174.252,2096,80,false,SEA,North America,Seattle,202,2.44
163.123.174.59,2053,80,false,SEA,North America,Seattle,196,2.44
163.123.174.219,2053,80,false,SEA,North America,Seattle,199,2.44
163.123.174.42,2053,80,false,SEA,North America,Seattle,200,2.44
163.123.174.17,2082,80,false,SEA,North America,Seattle,195,2.44
163.123.174.42,2096,80,false,SEA,North America,Seattle,197,2.44
163.123.174.219,2087,80,false,SEA,North America,Seattle,204,2.44
163.123.174.219,2052,80,false,SEA,North America,Seattle,199,2.44
163.123.174.17,2095,80,false,SEA,North America,Seattle,204,2.43
163.123.174.50,2086,80,false,SEA,North America,Seattle,196,2.43
163.123.174.50,2052,80,false,SEA,North America,Seattle,196,2.43
163.123.174.16,2096,80,false,SEA,North America,Seattle,200,2.42
163.123.174.42,2087,80,false,SEA,North America,Seattle,195,2.42
163.123.174.17,2096,80,false,SEA,North America,Seattle,194,2.41
163.123.174.252,2086,80,false,SEA,North America,Seattle,198,2.40
163.123.174.23,2053,80,false,SEA,North America,Seattle,200,2.40
163.123.174.16,2095,80,false,SEA,North America,Seattle,205,2.38
163.123.174.219,2083,80,false,SEA,North America,Seattle,197,2.38
163.123.174.16,2052,80,false,SEA,North America,Seattle,199,2.37
163.123.174.16,2086,80,false,SEA,North America,Seattle,198,2.37
163.123.174.217,2052,80,false,SEA,North America,Seattle,199,2.37
163.123.174.23,2082,80,false,SEA,North America,Seattle,201,2.35
163.123.174.248,2053,80,false,SEA,North America,Seattle,198,2.32
163.123.174.51,2086,80,false,SEA,North America,Seattle,203,2.32
163.123.174.17,2087,80,false,SEA,North America,Seattle,196,2.32
163.123.174.59,2052,80,false,SEA,North America,Seattle,198,2.28
163.123.174.249,2053,80,false,SEA,North America,Seattle,200,2.27
163.123.174.217,2096,80,false,SEA,North America,Seattle,198,2.26
163.123.174.36,2052,80,false,SEA,North America,Seattle,196,2.26
163.123.174.59,2087,80,false,SEA,North America,Seattle,203,2.25
163.123.174.253,2082,80,false,SEA,North America,Seattle,196,2.25
163.123.174.217,2095,80,false,SEA,North America,Seattle,199,2.25
163.123.174.236,2053,80,false,SEA,North America,Seattle,197,2.25
163.123.174.214,2095,80,false,SEA,North America,Seattle,202,2.24
163.123.174.225,2096,80,false,SEA,North America,Seattle,195,2.24
163.123.174.214,2096,80,false,SEA,North America,Seattle,198,2.24
163.123.174.205,2052,80,false,SEA,North America,Seattle,199,2.23
163.123.174.232,2096,80,false,SEA,North America,Seattle,197,2.22
163.123.174.225,2083,80,false,SEA,North America,Seattle,198,2.22
163.123.174.252,2053,80,false,SEA,North America,Seattle,200,2.22
163.123.174.23,2096,80,false,SEA,North America,Seattle,201,2.20
163.123.174.23,2087,80,false,SEA,North America,Seattle,195,2.19
163.123.174.59,2095,80,false,SEA,North America,Seattle,199,2.19
163.123.174.42,2095,80,false,SEA,North America,Seattle,204,2.18
163.123.174.17,2052,80,false,SEA,North America,Seattle,202,2.17
163.123.174.201,2053,80,false,SEA,North America,Seattle,198,2.16
163.123.174.217,2053,80,false,SEA,North America,Seattle,201,2.15
163.123.174.214,2087,80,false,SEA,North America,Seattle,193,2.14
163.123.174.225,2053,80,false,SEA,North America,Seattle,202,2.09
163.123.174.225,2095,80,false,SEA,North America,Seattle,200,2.08
163.123.174.23,2052,80,false,SEA,North America,Seattle,197,2.06
163.123.174.24,2087,80,false,SEA,North America,Seattle,202,2.05
15.236.116.199,2082,80,false,CDG,Europe,Paris,247,2.04
163.123.174.210,2086,80,false,SEA,North America,Seattle,197,2.04
15.160.15.255,2086,80,false,MXP,Europe,Milan,270,1.96
15.160.15.101,2082,80,false,MXP,Europe,Milan,271,1.95
15.160.15.101,2096,80,false,MXP,Europe,Milan,271,1.95
15.160.15.101,2083,80,false,MXP,Europe,Milan,264,1.94
15.160.14.66,2082,80,false,MXP,Europe,Milan,265,1.94
15.160.15.101,2095,80,false,MXP,Europe,Milan,264,1.94
15.160.15.255,2052,80,false,MXP,Europe,Milan,265,1.94
15.160.14.66,2053,80,false,MXP,Europe,Milan,264,1.94
15.160.15.255,2095,80,false,MXP,Europe,Milan,263,1.94
15.160.19.149,2083,80,false,MXP,Europe,Milan,265,1.94
15.160.14.66,2086,80,false,MXP,Europe,Milan,265,1.94
15.160.15.101,2053,80,false,MXP,Europe,Milan,271,1.93
15.160.15.255,2096,80,false,MXP,Europe,Milan,266,1.93
15.160.15.255,2082,80,false,MXP,Europe,Milan,263,1.93
15.160.19.149,2052,80,false,MXP,Europe,Milan,264,1.93
15.160.19.149,2096,80,false,MXP,Europe,Milan,265,1.93
15.160.14.66,2083,80,false,MXP,Europe,Milan,264,1.92
15.160.14.66,2095,80,false,MXP,Europe,Milan,271,1.92
15.160.15.255,2083,80,false,MXP,Europe,Milan,263,1.92
15.160.19.149,2087,80,false,MXP,Europe,Milan,266,1.92
15.160.14.66,2087,80,false,MXP,Europe,Milan,263,1.92
15.160.19.149,2095,80,false,MXP,Europe,Milan,265,1.92
15.160.19.149,2082,80,false,MXP,Europe,Milan,264,1.92
15.160.14.66,2052,80,false,MXP,Europe,Milan,264,1.91
15.160.19.149,2053,80,false,MXP,Europe,Milan,264,1.91
15.160.15.255,2087,80,false,MXP,Europe,Milan,265,1.90
15.160.14.66,2096,80,false,MXP,Europe,Milan,269,1.89
15.160.15.255,2053,80,false,MXP,Europe,Milan,263,1.89
15.160.15.101,2086,80,false,MXP,Europe,Milan,263,1.89
15.160.15.101,2087,80,false,MXP,Europe,Milan,263,1.89
13.49.6.192,2053,80,false,ARN,Europe,Stockholm,273,1.88
13.49.119.167,2082,80,false,ARN,Europe,Stockholm,273,1.88
13.49.119.167,2052,80,false,ARN,Europe,Stockholm,273,1.88
13.48.140.41,2096,80,false,ARN,Europe,Stockholm,273,1.88
15.160.15.101,2052,80,false,MXP,Europe,Milan,263,1.88
13.49.6.192,2095,80,false,ARN,Europe,Stockholm,273,1.87
13.49.119.167,2096,80,false,ARN,Europe,Stockholm,272,1.87
13.48.140.41,2053,80,false,ARN,Europe,Stockholm,273,1.87
13.48.36.215,2082,80,false,ARN,Europe,Stockholm,273,1.87
13.49.119.167,2053,80,false,ARN,Europe,Stockholm,273,1.86
13.49.119.167,2095,80,false,ARN,Europe,Stockholm,273,1.86
13.49.119.167,2086,80,false,ARN,Europe,Stockholm,273,1.86
