IP地址	端口	TLS	数据中心	地区	城市	网络延迟	测速 MB/s
13.125.218.78	443	TRUE	ICN	Asia Pacific	Seoul	65 ms	23.6
152.69.219.32	443	TRUE	SIN	Asia Pacific	Singapore	99 ms	17.8
54.151.242.175	8443	TRUE	SIN	Asia Pacific	Singapore	96 ms	12.23
158.178.192.221	443	TRUE	CDG	Europe	Paris	227 ms	7.91
43.156.253.94	443	TRUE	SIN	Asia Pacific	Singapore	231 ms	7.44
158.178.196.15	2053	TRUE	CDG	Europe	Paris	237 ms	7.31
13.37.224.156	2053	TRUE	CDG	Europe	Paris	263 ms	6.34
13.37.224.156	8443	TRUE	CDG	Europe	Paris	265 ms	6.33
132.145.81.117	443	TRUE	ICN	Asia Pacific	Seoul	60 ms	5.69
158.180.88.1	34237	TRUE	ICN	Asia Pacific	Seoul	98 ms	5.13
158.178.206.197	2053	TRUE	CDG	Europe	Paris	226 ms	4.71
158.178.206.197	8443	TRUE	CDG	Europe	Paris	239 ms	4.26
8.217.45.219	42291	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	4.15
89.168.43.31	2053	TRUE	CDG	Europe	Paris	214 ms	3.47
89.168.43.31	8443	TRUE	CDG	Europe	Paris	236 ms	2.87
13.51.48.84	2096	TRUE	ARN	Europe	Stockholm	207 ms	2964 kB/s
18.168.254.65	8443	TRUE	LHR	Europe	London	191 ms	2956 kB/s
54.233.182.187	443	TRUE	GRU	South America	São Paulo	355 ms	2932 kB/s
13.43.173.97	8443	TRUE	LHR	Europe	London	186 ms	2924 kB/s
13.40.87.247	443	TRUE	LHR	Europe	London	198 ms	2678 kB/s
35.177.209.223	443	TRUE	LHR	Europe	London	206 ms	2628 kB/s
3.18.225.231	443	TRUE	ORD	North America	Chicago	220 ms	2559 kB/s
13.51.173.26	8443	TRUE	WAW	Europe	Warsaw	201 ms	2521 kB/s
18.130.249.35	2096	TRUE	LHR	Europe	London	205 ms	2359 kB/s
13.42.158.50	8443	TRUE	LHR	Europe	London	195 ms	2329 kB/s
16.16.64.83	8443	TRUE	WAW	Europe	Warsaw	208 ms	2246 kB/s
13.60.79.248	443	TRUE	ARN	Europe	Stockholm	209 ms	2140 kB/s
13.48.245.19	443	TRUE	ARN	Europe	Stockholm	197 ms	2019 kB/s
18.167.20.205	443	TRUE	HKG	Asia Pacific	Hong Kong	139 ms	1926 kB/s
34.253.212.104	8081	TRUE	DUB	Europe	Dublin	222 ms	1861 kB/s
13.250.131.37	443	TRUE	SIN	Asia Pacific	Singapore	99 ms	1730 kB/s
13.51.55.31	443	TRUE	ARN	Europe	Stockholm	205 ms	963 kB/s
15.228.157.181	443	TRUE	GIG	South America	Rio de Janeiro	368 ms	844 kB/s
52.74.101.26	443	TRUE	SIN	Asia Pacific	Singapore	102 ms	636 kB/s
13.51.132.60	443	TRUE	OSL	Europe	Oslo	206 ms	400 kB/s
13.40.87.247	8080	TRUE	LHR	Europe	London	201 ms	387 kB/s
18.184.55.249	443	TRUE	FRA	Europe	Frankfurt	175 ms	243 kB/s
13.38.100.139	8443	TRUE	CDG	Europe	Paris	188 ms	157 kB/s
54.229.195.253	8443	TRUE	DUB	Europe	Dublin	213 ms	153 kB/s
13.53.126.251	8443	TRUE	ARN	Europe	Stockholm	201 ms	134 kB/s
13.53.206.75	443	TRUE	CPH	Europe	Copenhagen	202 ms	131 kB/s
13.60.4.148	8443	TRUE	ARN	Europe	Stockholm	202 ms	128 kB/s
18.192.113.68	8443	TRUE	FRA	Europe	Frankfurt	175 ms	118 kB/s
3.120.8.31	443	TRUE	FRA	Europe	Frankfurt	178 ms	83 kB/s
13.60.4.148	2053	TRUE	OSL	Europe	Oslo	205 ms	77 kB/s
3.70.219.196	443	TRUE	FRA	Europe	Frankfurt	191 ms	54 kB/s
54.194.162.247	443	TRUE	DUB	Europe	Dublin	218 ms	51 kB/s
13.42.76.114	8443	TRUE	LHR	Europe	London	193 ms	42 kB/s
3.65.21.45	443	TRUE	FRA	Europe	Frankfurt	189 ms	36 kB/s
18.194.183.74	2053	TRUE	FRA	Europe	Frankfurt	182 ms	32 kB/s
52.213.11.150	443	TRUE	DUB	Europe	Dublin	193 ms	22 kB/s
52.9.112.189	443	TRUE	SJC	North America	San Jose	177 ms	0 kB/s
54.150.91.84	443	TRUE	NRT	Asia Pacific	Tokyo	67 ms	0 kB/s
13.125.218.78	443	TRUE	ICN	Asia Pacific	Seoul	99 ms	0 kB/s
3.123.255.167	443	TRUE	FRA	Europe	Frankfurt	178 ms	0 kB/s
15.236.136.125	2087	TRUE	CDG	Europe	Paris	198 ms	0 kB/s
﻿IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
13.230.34.30	80	FALSE	NRT	Asia Pacific	Tokyo	72 ms	18119 kB/s
52.57.229.96	80	FALSE	FRA	Europe	Frankfurt	185 ms	8302 kB/s
13.124.44.168	80	FALSE	ICN	Asia Pacific	Seoul	103 ms	7453 kB/s
54.233.145.43	80	FALSE	GIG	South America	Rio de Janeiro	354 ms	350 kB/s
13.126.254.121	80	FALSE	BOM	Asia Pacific	Mumbai	316 ms	203 kB/s
54.194.162.247	80	FALSE	DUB	Europe	Dublin	197 ms	178 kB/s
﻿IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
54.179.184.9	443	TRUE	SIN	Asia Pacific	Singapore	106 ms	15910 kB/s
15.165.49.161	8080	TRUE	ICN	Asia Pacific	Seoul	94 ms	12127 kB/s
18.167.20.205	443	TRUE	HKG	Asia Pacific	Hong Kong	128 ms	11764 kB/s
13.250.131.37	443	TRUE	SIN	Asia Pacific	Singapore	105 ms	11579 kB/s
54.150.91.84	443	TRUE	NRT	Asia Pacific	Tokyo	75 ms	10225 kB/s
3.120.144.20	8080	TRUE	FRA	Europe	Frankfurt	180 ms	8904 kB/s
3.123.255.167	443	TRUE	FRA	Europe	Frankfurt	186 ms	7682 kB/s
13.60.79.248	443	TRUE	ARN	Europe	Stockholm	212 ms	7307 kB/s
18.167.208.181	443	TRUE	HKG	Asia Pacific	Hong Kong	147 ms	7274 kB/s
13.38.53.164	8443	TRUE	CDG	Europe	Paris	196 ms	7175 kB/s
13.51.55.31	443	TRUE	ARN	Europe	Stockholm	205 ms	6934 kB/s
3.65.21.45	443	TRUE	FRA	Europe	Frankfurt	184 ms	6309 kB/s
3.18.225.231	443	TRUE	ORD	North America	Chicago	233 ms	6215 kB/s
13.60.91.143	443	TRUE	ARN	Europe	Stockholm	195 ms	6078 kB/s
3.15.147.151	2083	TRUE	ORD	North America	Chicago	225 ms	5701 kB/s
16.16.64.83	8443	TRUE	WAW	Europe	Warsaw	216 ms	5500 kB/s
